vessel	cruise	haul	species	sex	specimen	age	length
518	198101	53	20510	1	832	4	52
518	198101	53	20510	1	833	4	52
518	198101	53	20510	1	834	4	53
518	198101	53	20510	1	837	4	54
518	198101	53	20510	1	839	4	55
518	198101	53	20510	1	840	4	55
518	198101	53	20510	2	900	4	50
518	198101	53	20510	2	901	4	50
518	198101	53	20510	2	904	4	52
518	198101	53	20510	2	905	4	52
518	198101	53	20510	2	908	4	54
518	198101	53	20510	2	909	4	54
518	198101	53	20510	2	910	4	55
518	198101	53	20510	2	911	4	55
518	198101	53	20510	2	912	4	56
518	198101	53	20510	2	913	4	56
518	198101	53	20510	2	914	4	57
518	198101	53	20510	2	915	4	57
518	198101	53	20510	2	916	4	58
518	198101	53	20510	2	917	4	58
518	198101	53	20510	2	918	4	59
518	198101	53	20510	2	920	4	60
518	198101	67	20510	1	2	4	41
518	198101	67	20510	1	5	4	45
518	198101	67	20510	1	9	4	47
518	198101	67	20510	1	10	4	48
518	198101	67	20510	1	11	4	48
518	198101	67	20510	1	12	4	49
518	198101	67	20510	1	13	4	49
518	198101	67	20510	1	14	4	50
518	198101	67	20510	1	16	4	52
518	198101	67	20510	1	18	4	53
518	198101	67	20510	1	19	4	53
518	198101	67	20510	1	20	4	54
518	198101	67	20510	1	21	4	54
518	198101	67	20510	1	22	4	55
518	198101	67	20510	1	23	4	55
518	198101	67	20510	1	24	4	56
518	198101	67	20510	1	25	4	56
518	198101	67	20510	1	26	4	57
518	198101	67	20510	1	27	4	57
518	198101	67	20510	1	28	4	58
518	198101	67	20510	1	30	4	59
518	198101	67	20510	1	32	4	60
518	198101	67	20510	1	34	4	61
518	198101	67	20510	1	37	4	62
518	198101	67	20510	2	76	4	48
518	198101	67	20510	2	78	4	49
518	198101	67	20510	2	79	4	49
518	198101	67	20510	2	83	4	51
518	198101	67	20510	2	84	4	52
518	198101	67	20510	2	86	4	53
518	198101	67	20510	2	87	4	53
518	198101	67	20510	2	89	4	54
518	198101	67	20510	2	90	4	55
518	198101	67	20510	2	91	4	55
518	198101	67	20510	2	92	4	56
518	198101	67	20510	2	93	4	56
518	198101	67	20510	2	94	4	57
518	198101	67	20510	2	95	4	57
518	198101	67	20510	2	96	4	58
518	198101	67	20510	2	98	4	59
518	198101	67	20510	2	100	4	60
518	198101	67	20510	2	103	4	61
518	198101	67	20510	2	107	4	63
518	198101	77	20510	1	498	4	46
518	198101	77	20510	1	502	4	48
518	198101	77	20510	1	503	4	48
518	198101	77	20510	1	504	4	49
518	198101	77	20510	1	505	4	49
518	198101	77	20510	1	506	4	50
518	198101	77	20510	1	509	4	51
518	198101	77	20510	1	511	4	52
518	198101	77	20510	1	512	4	53
518	198101	77	20510	1	517	4	55
518	198101	77	20510	1	519	4	56
518	198101	77	20510	1	520	4	57
518	198101	77	20510	1	522	4	58
518	198101	77	20510	2	556	4	44
518	198101	77	20510	2	559	4	47
518	198101	77	20510	2	562	4	49
518	198101	77	20510	2	564	4	50
518	198101	77	20510	2	565	4	50
518	198101	77	20510	2	566	4	51
518	198101	77	20510	2	567	4	51
518	198101	77	20510	2	570	4	53
518	198101	77	20510	2	572	4	54
518	198101	77	20510	2	574	4	55
518	198101	77	20510	2	575	4	55
518	198101	77	20510	2	577	4	56
518	198101	77	20510	2	579	4	57
518	198101	77	20510	2	580	4	58
518	198101	77	20510	2	581	4	58
518	198101	77	20510	2	583	4	59
518	198101	82	20510	1	336	4	45
518	198101	82	20510	1	337	4	46
518	198101	82	20510	1	338	4	46
518	198101	82	20510	1	339	4	47
518	198101	82	20510	1	340	4	47
518	198101	82	20510	1	343	4	49
518	198101	82	20510	1	345	4	50
518	198101	82	20510	1	348	4	51
518	198101	82	20510	1	349	4	52
518	198101	82	20510	1	350	4	52
518	198101	82	20510	1	351	4	53
518	198101	82	20510	1	352	4	53
518	198101	82	20510	1	355	4	55
518	198101	82	20510	1	357	4	56
